,idDripPerMinute,idFieldTrip,SiteName,TimeCollected,Count,TimeInterval
74,75,61,Trinity,2011-12-19 00:00:00,223.0,90
75,76,61,Trinity,2011-12-20 00:00:00,169.0,90
76,77,63,Trinity,2012-01-23 00:00:00,143.0,90
77,78,63,Trinity,2012-01-24 00:00:00,143.0,90
78,79,64,Trinity,2012-02-27 00:00:00,134.0,90
79,80,64,Trinity,2012-02-28 00:00:00,133.0,90
80,81,65,Trinity,2012-03-26 00:00:00,128.0,90
81,82,65,Trinity,2012-03-27 00:00:00,132.0,90
82,83,66,Trinity,2012-04-23 00:00:00,126.0,90
83,84,66,Trinity,2012-04-24 00:00:00,126.0,90
84,85,68,Trinity,2012-05-21 00:00:00,113.0,90
85,86,68,Trinity,2012-05-22 00:00:00,119.0,90
86,87,69,Trinity,2012-06-28 00:00:00,98.0,90
87,88,69,Trinity,2012-06-29 00:00:00,101.0,90
88,89,70,Trinity,2012-08-02 00:00:00,90.0,90
89,90,70,Trinity,2012-08-03 00:00:00,88.0,90
90,91,72,Trinity,2012-08-27 00:00:00,72.0,90
91,92,72,Trinity,2012-08-28 00:00:00,73.0,90
92,93,73,Trinity,2012-09-24 00:00:00,135.0,90
93,94,73,Trinity,2012-09-25 00:00:00,135.0,90
94,95,74,Trinity,2012-10-22 00:00:00,215.0,90
95,96,74,Trinity,2012-10-23 00:00:00,234.0,90
96,97,76,Trinity,2012-11-19 00:00:00,187.0,90
97,98,76,Trinity,2012-11-20 00:00:00,188.0,90
98,99,77,Trinity,2012-12-21 00:00:00,171.0,90
99,100,77,Trinity,2012-12-22 00:00:00,175.0,90
100,101,78,Trinity,2013-01-15 00:00:00,149.0,90
101,102,78,Trinity,2013-01-16 00:00:00,147.0,90
102,103,80,Trinity,2013-02-18 00:00:00,124.0,90
103,104,81,Trinity,2013-03-18 00:00:00,103.0,90
104,105,81,Trinity,2013-03-19 00:00:00,106.0,90
105,106,82,Trinity,2013-04-22 00:00:00,97.0,90
106,107,82,Trinity,2013-04-23 00:00:00,94.0,90
107,108,84,Trinity,2013-05-20 00:00:00,92.0,90
108,109,84,Trinity,2013-05-21 00:00:00,94.0,90
109,110,85,Trinity,2013-06-25 00:00:00,83.0,90
110,111,85,Trinity,2013-06-26 00:00:00,82.0,90
111,112,87,Trinity,2013-07-29 00:00:00,67.0,90
112,113,87,Trinity,2013-07-30 00:00:00,68.0,90
113,114,88,Trinity,2013-08-26 00:00:00,59.0,90
114,115,88,Trinity,2013-08-27 00:00:00,57.0,90
115,116,89,Trinity,2013-09-23 00:00:00,57.0,90
116,117,89,Trinity,2013-09-24 00:00:00,63.0,90
117,118,91,Trinity,2013-10-21 00:00:00,290.0,90
118,119,91,Trinity,2013-10-22 00:00:00,294.0,90
119,120,93,Trinity,2013-11-18 00:00:00,163.0,90
120,121,93,Trinity,2013-11-19 00:00:00,160.0,90
121,122,94,Trinity,2013-12-16 00:00:00,163.0,90
122,123,94,Trinity,2013-12-17 00:00:00,160.0,90
123,124,95,Trinity,2014-01-21 00:00:00,158.0,90
124,125,95,Trinity,2014-01-22 00:00:00,159.0,90
125,126,98,Trinity,2014-02-17 00:00:00,241.0,90
126,127,98,Trinity,2014-02-18 00:00:00,222.0,90
127,128,99,Trinity,2014-03-17 00:00:00,151.0,90
128,129,99,Trinity,2014-03-18 00:00:00,151.0,90
129,130,100,Trinity,2014-04-22 00:00:00,137.0,90
130,131,100,Trinity,2014-04-23 00:00:00,137.0,90
131,132,104,Trinity,2014-05-22 00:00:00,142.0,90
132,133,104,Trinity,2014-05-23 00:00:00,140.0,90
133,134,106,Trinity,2014-06-16 00:00:00,136.0,90
134,135,106,Trinity,2014-06-17 00:00:00,134.0,90
135,136,109,Trinity,2014-08-12 00:00:00,249.0,90
136,137,109,Trinity,2014-08-18 00:00:00,203.0,90
137,138,112,Trinity,2014-09-22 00:00:00,192.0,90
138,139,112,Trinity,2014-09-23 00:00:00,210.0,90
139,140,115,Trinity,2014-10-30 00:00:00,156.0,90
140,141,116,Trinity,2014-11-28 00:00:00,159.0,90
141,142,116,Trinity,2014-11-29 00:00:00,158.0,90
142,143,117,Trinity,2014-12-29 00:00:00,149.0,90
143,144,117,Trinity,2014-12-30 00:00:00,157.0,90
144,145,119,Trinity,2015-01-30 00:00:00,153.0,90
145,146,119,Trinity,2015-01-31 00:00:00,158.0,90
146,147,120,Trinity,2015-02-27 00:00:00,146.0,90
147,148,120,Trinity,2015-02-28 00:00:00,150.0,90
148,149,121,Trinity,2015-03-27 00:00:00,140.0,90
149,150,121,Trinity,2015-03-28 00:00:00,145.0,90
150,151,122,Trinity,2015-05-01 00:00:00,140.0,90
151,152,123,Trinity,2015-05-30 00:00:00,109.0,90
152,153,126,Trinity,2015-06-26 00:00:00,120.0,90
153,154,127,Trinity,2015-07-29 00:00:00,203.0,90
154,155,130,Trinity,2015-08-31 00:00:00,206.0,90
155,156,132,Trinity,2015-09-28 00:00:00,174.0,90
156,157,133,Trinity,2015-10-26 00:00:00,195.0,90
157,158,135,Trinity,2015-11-23 00:00:00,186.0,90
158,159,138,Trinity,2015-12-21 00:00:00,162.0,90
159,160,139,Trinity,2016-02-02 00:00:00,149.0,90
160,161,140,Trinity,2016-03-01 00:00:00,135.0,90
161,162,141,Trinity,2016-04-05 00:00:00,117.0,90
162,163,142,Trinity,2016-05-10 09:05:00,37.0,90
